,종합.1,종합.2,생산,소비,정부,건설,설비,대외,수출,수입,노동,물가,심리,부동산,금융
제조업신규수주실적BSI,0.2809371605969738,0.2742301863065285,0.023112248887866227,,,,,,,,,,0.16053988334949076,,
제조업가동률실적BSI,0.255247574745893,0.2824521281500313,0.021073265164079813,,,,,,,,,,0.16046256436903583,,
경제심리지수,0.14903806645755313,0.4591911082673099,,,,,,,,,,,0.05561722847994255,,
현재경기판단CSI,0.01206561217415647,0.3313559262543554,,,,,,,,,,,0.2759483261581527,,
소비자심리지수,0.03626960422898173,0.273438491919501,,0.020868640624792656,,,,,,,,,0.29892447917873954,,
통합재정수지,0.06364518220198467,0.02946454108143326,,,0.06911127245830906,,,,,,,,,,
주택매매가격지수_서울,0.061107710542572025,0.0068838201743680605,,,,,,,,,,,,0.24100567915220594,
주택매매가격지수_전국,0.08040936637990825,0.043090871833658895,,,,,,,,,,,,0.5108807527971186,
주택전세가격지수_서울,0.3087715182539733,0.01265181950289318,,,,,,,,,,,,0.5178820439316648,
주택전세가격지수_전국,0.22542467303111902,0.05007880559354938,,,,,,,,,,,,0.5612797430382239,
콜금리,0.30317122497272586,0.007078604809507172,,,,,,,,,,,,,0.003328006600012756
CD금리,0.2263787966773737,0.028814188503465177,,,,,,,,,,,,,0.00297706628150618
국고채3년,0.1142681755036089,0.04745508956905542,,,,,,,,,,,,,0.029186393709219827
원달러환율,0.11798063145493498,0.07644684368489651,,,,,,0.5189923027184746,,,,,,,0.06078765269165498
달러유로환율,0.01235475669419328,0.011670462211049393,,,,,,0.04485561325343501,,,,,,,0.19149199495494074
KOSPI,0.13344433078031037,0.1548631463717598,,,,,,,,,,,,,0.07688260182367812
KOSDAQ,0.043840581412479485,0.2145251654489061,,,,,,,,,,,,,0.02657113350098106
두바이현물,0.1434972998160946,0.059598306568349635,,,,,,,,,,,,,0.6431078826641727
WTI선물,0.16554845662524975,0.04256291093369635,,,,,,,,,,,,,0.6558796478243422
금현물,0.01311539596081035,0.0040748671619849075,,,,,,,,,,,,,0.08880269587978495
(텍스트)생산,0.5988815450041736,0.1955677064147454,0.20066048161759054,,,,,,,,,,,,
(텍스트)선박,0.13706679505894848,0.027306966941352373,0.02406360642574723,,,,,,,,,,,,
(텍스트)자동차,0.6007929416830164,0.16532227168796143,0.15501414755562448,,,,,,,,,,,,
(텍스트)반도체,0.1382748570898109,0.011493264744635745,0.24717599835185544,,,,,,,,,,,,
(텍스트)설비투자,0.3203263152245929,0.09274640403615042,,,,,0.020130323073864198,,,,,,,,
(텍스트)건설투자,0.02124057147838243,0.0034585528457574677,,,,0.10863974311859281,,,,,,,,,
(텍스트)실업,0.3539843507314193,0.2874271107689329,,,,,,,,,0.004118445230019807,,,,
(텍스트)채용,0.43018273065236534,0.1049913386321617,,,,,,,,,0.0017742125364410555,,,,
(텍스트)구직,0.03789612818541577,0.14345503500385315,,,,,,,,,2.03854812268478e-05,,,,
(텍스트)도소매,0.4583678862627737,0.087878924765466,,0.004235402719847681,,,,,,,,,,,
(텍스트)정부지출,0.4608300799572651,0.3150796287608012,,,0.13445040076450876,,,,,,,,,,
(텍스트)물가전망,0.10906509219853877,0.31215738837685425,,,,,,,,,,0.22768452822116525,,,
(텍스트)주가전망,0.24387581975926598,3.084816145715319e-05,,,,,,,,,,,,,0.00036374129769933816
(텍스트)주택가격전망,0.09976677900283648,0.011606104594719224,,,,,,,,,,,,0.10678512572036292,
(텍스트)세계교역,0.42269667153450063,0.12964203068189795,,,,,,0.003705254343900344,,,,,,,
(텍스트)뉴스심리지수,0.436907630604494,0.010647969861783846,,,,,,,,,,,0.04705265324085506,,
(텍스트)경제불확실성지수,0.4623159838841482,0.01881234264755194,,,,,,,,,,,0.020776143868896813,,
GDP(SA),0.5404324839812547,6.641088576120335e-05,0.041112644631728035,,,,,,,,,,,,
